CODIGO_UNICO,NOMBRE_INVERSION,AVANCE_FISICO,MONTO_VIABLE,DEPARTAMENTO,PROVINCIA,BENEFICIARIO,SECTOR,COSTO_ACTUALIZADO,PIM_ANIO_ACTUAL,TIPO_INVERSION,EFICIENCIA_AVANCE,BENEFICIARIOS_POR_MILLON,INDICE_PRIORIDAD,CATEGORIA_PROYECTO,ESTADO_AVANCE
2670734,"CONSTRUCCION DE SALA DE USOS MULTIPLES, AMBIENTE DE PREPARACION Y EXPENDIO DE ALIMENTOS, AMBIENTE DE SERVICIOS GENERALES Y ALMACEN O DEPOSITO ADEMÁS DE OTROS ACTIVOS EN EL(LA) I.E. EDUARDO AÑAÑOS PEREZ PATIBAMBA DISTRITO DE PATIBAMBA, PROVINCIA LA MAR, DEPARTAMENTO AYACUCHO",0.0,2271102.77,AYACUCHO,LA MAR,0,GOBIERNOS LOCALES,2271102.77,0,INVERSIONES IOARR,0.0,0.0,0.3999702664340462,GRANDE,SIN_INICIAR
2093988,EQUIPAMIENTO DE LOS LABORATORIOS EXPERIMENTALES DEL INSTITUTO SUPERIOR TECNOLOGICO PUBLICO DE OYON - DISTRITO DE OYON,0.0,186622.0,LIMA,OYON,158,GOBIERNOS REGIONALES,202802.95,0,PIP MENOR (SNIP),0.0,846.6311581699906,0.3999976120470737,PEQUEÑO,SIN_INICIAR
2639184,"MEJORAMIENTO  SERVICIO DE MOVILIDAD URBANA EN CALLES DE LAS JJ.VV. LA LAGUNA, COSTA VERDE, BRISAS DEL MARAÑON  Y BUENA VISTA GASPARITO DE LA CIUDAD DE NAUTA   DISTRITO DE NAUTA DE LA PROVINCIA DE LORETO DEL DEPARTAMENTO DE LORETO",0.0,48687575.0,LORETO,LORETO,19218,GOBIERNOS LOCALES,48687575.0,42000,PROYECTO DE INVERSION,0.0,394.7208296983368,0.3993693038172458,MEGA,SIN_INICIAR
2588335,"RENOVACION DE CALZADA EN EL(LA) AV. LAS ÑUSTAS (TRAMO AV. GRAU - AV. LOS INCAS) DEL  DISTRITO DE LA VICTORIA, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE",0.0,848630.09,LAMBAYEQUE,CHICLAYO,0,GOBIERNOS LOCALES,3087651.43,0,INVERSIONES IOARR,0.0,0.0,0.3999888896352638,GRANDE,SIN_INICIAR
2303222,"MEJORAMIENTO Y AMPLIACION DEL LOCAL DE LA CASA DE LA CULTURA DEL BARRIO CRUZ DE MARÍA, DISTRITO CUTERVO, PROVINCIA DE CUTERVO - CAJAMARCA",0.0,440214.85,CAJAMARCA,CUTERVO,1879,GOBIERNOS LOCALES,398939.46,0,PIP MENOR (SNIP),0.0,4268.3703196291535,0.3999948944781611,MEDIANO,SIN_INICIAR
2130548,"FORTALECIMIENTO DE LA CAPACIDAD RESOLUTIVA DEL CENTRO MATERNO – INFANTIL EN LA LOCALIDAD DE HUACULLANI, DISTRITO DE HUACULLANI - CHUCUITO - PUNO",0.0,101200.0,PUNO,CHUCUITO,2987,GOBIERNOS LOCALES,101200.0,0,PIP MENOR (SNIP),0.0,29515.810276679844,0.3999997208036828,PEQUEÑO,SIN_INICIAR
2102449,MEJORAMIENTO DE INFRAESTRUCTURA DEPORTIVA DEL COLISEO MUNICIPAL 02 DE MAYO MARCAVELICA-SULLANA-PIURA,0.0,614130.43,PIURA,SULLANA,7296,GOBIERNOS LOCALES,1335982.68,0,PIP MENOR (SNIP),0.0,11880.212481899,0.3999945139818423,MEDIANO,SIN_INICIAR
2650976,"RENOVACION DE RESERVORIO EN EL(LA) MICRO RESERVORIO LLACUAS DEL CENTRO POBLADO DE LLACUAS  DISTRITO DE SAN LORENZO DE QUINTI, PROVINCIA HUAROCHIRI, DEPARTAMENTO LIMA",0.0,253472.83,LIMA,HUAROCHIRI,0,GOBIERNOS REGIONALES,253472.83,0,INVERSIONES IOARR,0.0,0.0,0.399996681513143,MEDIANO,SIN_INICIAR
2055853,"MEJORAMIENTO DE INFRAESTRUCTURA DE LA  I.E. Nº 88376 EN EL P.J. SANTA CRUZ, PROVINCIA DE SANTA - ANCASH",0.0,1085926.0,ANCASH,SANTA,112,GOBIERNOS LOCALES,1085926.0,0,PIP MAYOR (SNIP),0.0,103.13778286918262,0.3999858221356144,GRANDE,SIN_INICIAR
2570170,"MEJORAMIENTO Y AMPLIACION DE LOS SERVICIO DE AGUA POTABLE, ALCANTARILLADO SANITARIO Y TRATAMIENTO DE AGUAS RESIDUALES PARA DISPOSICIÓN FINAL EN LA COMUNIDAD DE NUEVO PROGRESO KIMPIRI DEL DISTRITO DE PICHARI - PROVINCIA DE LA CONVENCION - DEPARTAMENTO DE CUSCO",0.0,2434780.62,CUSCO,LA CONVENCION,644,GOBIERNOS LOCALES,2434780.62,0,PROYECTO DE INVERSION,0.0,264.5002160399979,0.3999683489989104,MEGA,SIN_INICIAR
2053184,"MEJORAMIENTO DE LAS VIAS DE ACCESO EN LAS ZONAS ALTAS DEL ASENTAMIENTO HUMANO PUYUSCA, PROVINCIA DE LIMA - LIMA",0.0,305416.0,LIMA,LIMA,434,GOBIERNOS LOCALES,304336.0,0,PIP MAYOR (SNIP),0.0,1421.012651596511,0.3999961534046843,MEDIANO,SIN_INICIAR
2649374,"RENOVACION DE AMBIENTE DE SERVICIO MULTIDISCIPLINARIO EN EL(LA) LOCAL DE USOS MULTIPLES EN LA LOCALIDAD CRUZ DE SANTA ROSA EN EL CENTRO POBLADO CHULUCANAS BAJO, DISTRITO DE EL CARMEN DE LA FRONTERA, PROVINCIA HUANCABAMBA, DEPARTAMENTO PIURA",0.0,116345.03,PIURA,HUANCABAMBA,0,GOBIERNOS LOCALES,187069.19,0,INVERSIONES IOARR,0.0,0.0,0.3999984768085098,PEQUEÑO,SIN_INICIAR
2649189,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE EDUCACIÓN INICIAL EN I.E. 104 NUESTRA SEÑORA DE FATIMA   DISTRITO DE CASITAS DE LA PROVINCIA DE CONTRALMIRANTE VILLAR DEL DEPARTAMENTO DE TUMBES,0.0,1221518.86,TUMBES,CONTRALMIRANTE VILLAR,2034,GOBIERNOS LOCALES,687275.39,203322,PROYECTO DE INVERSION,0.0,1665.140069961752,0.399984719806034,GRANDE,SIN_INICIAR
2092709,MEJORAMIENTO E INSTALACIÓN DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO PARA LOS CENTROS POBLADOS DE MEDIO MUNDO Y LAS AMÉRICAS - DISTRITO DE VÉGUETA.,0.0,1843816.41,LIMA,HUAURA,0,"VIVIENDA, CONSTRUCCION Y SANEAMIENTO",1843816.41,0,PIP MAYOR (SNIP),0.0,0.0,0.3999758605238109,GRANDE,SIN_INICIAR
2672070,RECUPERACION DE LOS SERVICIOS ECOSISTÉMICOS  EN EL ECOSISTEMA FORESTAL BOSQUE DE COLINA ALTA EN LA MICROCUENCA DEL RIO AZUL Y LA MICROCUENCA DEL RIO PORVENIR EN EL   DISTRITO DE DANIEL ALOMIA ROBLES DE LA PROVINCIA DE LEONCIO PRADO DEL DEPARTAMENTO DE HUANUCO,0.0,1867372.0,HUANUCO,LEONCIO PRADO,379,GOBIERNOS LOCALES,1867372.0,41000,PROYECTO DE INVERSION,0.0,202.95902476849815,0.3999756848144503,GRANDE,SIN_INICIAR
2629264,CREACION DEL SERVICIO DE ACCESIBILIDAD A LA ADQUISICIÓN DE PRODUCTOS DE PRIMERA NECESIDAD EN EL MERCADO CENTRAL DE ABASTOS DE LA LOCALIDAD DE TARACO   DISTRITO DE TARACO DE LA PROVINCIA DE HUANCANE DEL DEPARTAMENTO DE PUNO,0.0,3070269.68,PUNO,HUANCANE,7819,GOBIERNOS LOCALES,3127613.51,1092614,PROYECTO DE INVERSION,0.0,2546.6818276367176,0.3999625409769286,MEGA,SIN_INICIAR
2687681,"CONSTRUCCION DE NICHO Y ESPACIO EXTERIOR EN EL(LA) CEMENTERIO MUNICIPAL DEL  DISTRITO DE COTABAMBAS, PROVINCIA COTABAMBAS, DEPARTAMENTO APURIMAC",0.0,582816.32,APURIMAC,COTABAMBAS,0,GOBIERNOS LOCALES,582816.32,0,INVERSIONES IOARR,0.0,0.0,0.3999923697044382,MEDIANO,SIN_INICIAR
2689927,"REMODELACION DE AULA DE EDUCACION SUPERIOR TECNOLOGICA, AMBIENTE ADMINISTRATIVO, SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE Y RED DE ALCANTARILLADO ADEMÁS DE OTROS ACTIVOS EN EL(LA) INSTITUTO SUPERIOR TECNOLOGICO TSAMAJAIN  DISTRITO DE IMAZA, PROVINCIA BAGUA, DEPARTAMENTO AMAZONAS",0.0,648351.64,AMAZONAS,BAGUA,0,GOBIERNOS REGIONALES,648351.64,0,INVERSIONES IOARR,0.0,0.0,0.3999915117073263,MEDIANO,SIN_INICIAR
